id,prompt,response,score,notes
g1,Why does increasing ambient temperature reduce the effectiveness of natural convection cooling?,,,
g2,Why do materials often become more brittle at cryogenic temperatures?,,,
g3,Why does vacuum eliminate convective heat transfer but not radiative heat transfer?,,,
g4,Why does increased altitude reduce air cooling effectiveness for electronics?,,,
g5,Why does thermal cycling accelerate material fatigue even when peak stresses remain below yield?,,,
g6,"A motor draws 10 A at 230 V. If voltage drops by 10% and power remains constant, what happens to current approximately?","Additionally, if the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 10 A at 230 V, what is the power consumption? If the motor draws 1",,
g7,"If thermal resistance doubles while heat generation stays constant, what happens to temperature rise?",,,
g8,A resistor dissipates 20 W at steady state with a thermal resistance of 5 C/W. What is the approximate temperature rise?,,,
g9,"If pressure doubles in a sealed gas volume at constant temperature, what happens to density?",,,
g10,"If emissivity increases while temperature stays constant, what happens to radiated heat flux qualitatively?","Additionally, what happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity decreases while temperature increases? What happens to the radiated heat flux if emissivity decreases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature decreases? What happens to the radiated heat flux if emissivity increases while temperature increases? What happens to the radiated heat flux if emissivity increases while temperature",,
